Gender;Continent;Country;Sport;1_N_Total_Teams;1_N_Teams_Animals
Men;Europe;Poland;Basketball;16;5
Men;Europe;Sweden;Basketball;11;2
Men;Oceania;Australia;Basketball;10;5
Men;Oceania;New Zealand;Basketball;NA;NA
Men;Oceania;Papua New Guinea;Basketball;NA;NA
Men;Oceania;New Caledonia;Basketball;NA;NA
Men;Oceania;Guam;Basketball;NA;NA
Men;Oceania;French Polynesia;Basketball;NA;NA
Men;Oceania;Fiji;Basketball;NA;NA
Men;Oceania;Solomon Island;Basketball;NA;NA
Men;Oceania;Northern Mariana Islands;Basketball;NA;NA
Men;Oceania;Vanuatu;Basketball;NA;NA
Men;Africa;Nigeria;American Football;NA;NA
Men;Africa;Egypt;American Football;NA;NA
Men;Africa;South Africa;American Football;NA;NA
Men;Africa;Algeria;American Football;NA;NA
Men;Africa;Morocco;American Football;NA;NA
Men;Africa;Angola;American Football;NA;NA
Men;Africa;Kenya;American Football;NA;NA
Men;Africa;Ethiopia;American Football;NA;NA
Men;Africa;Tanzania, United Republic of;American Football;NA;NA
Men;Africa;Ghana;American Football;NA;NA
Men;Americas;United States;American Football;32;15
Men;Americas;Canada;American Football;9;5
Men;Americas;Brazil;American Football;39;13
Men;Americas;Mexico;American Football;11;2
Men;Americas;Argentina;American Football;NA;NA
Men;Americas;Colombia;American Football;NA;NA
Men;Americas;Chile;American Football;NA;NA
Men;Americas;Peru;American Football;NA;NA
Men;Americas;Puerto Rico;American Football;NA;NA
Men;Americas;Ecuador;American Football;NA;NA
Men;Asia;China;American Football;NA;NA
Men;Asia;Japan;American Football;NA;NA
Men;Asia;India;American Football;NA;NA
Men;Asia;Iran, Islamic Republic of;American Football;NA;NA
Men;Asia;Korea, Republic of;American Football;NA;NA
Men;Asia;Indonesia;American Football;NA;NA
Men;Asia;Saudi Arabia;American Football;NA;NA
Men;Asia;Turkey;American Football;NA;NA
Men;Asia;Thailand;American Football;NA;NA
Men;Asia;Israel;American Football;NA;NA
Men;Europe;Germany;American Football;NA;NA
Men;Europe;United Kingdom;American Football;NA;NA
Men;Europe;France;American Football;NA;NA
Men;Europe;Russian Federation;American Football;NA;NA
Men;Europe;Italy;American Football;NA;NA
Men;Europe;Spain;American Football;NA;NA
Men;Europe;Netherlands;American Football;NA;NA
Men;Europe;Switzerland;American Football;NA;NA
Men;Europe;Poland;American Football;NA;NA
Men;Europe;Sweden;American Football;NA;NA
Men;Oceania;Australia;American Football;NA;NA
Men;Oceania;New Zealand;American Football;NA;NA
Men;Oceania;Papua New Guinea;American Football;NA;NA
Men;Oceania;New Caledonia;American Football;NA;NA
Men;Oceania;Guam;American Football;NA;NA
Men;Oceania;French Polynesia;American Football;NA;NA
Men;Oceania;Fiji;American Football;NA;NA
Men;Oceania;Solomon Island;American Football;NA;NA
Men;Oceania;Northern Mariana Islands;American Football;NA;NA
Men;Oceania;Vanuatu;American Football;NA;NA
Men;Africa;Nigeria;Volleyball;NA;NA
Men;Africa;Egypt;Volleyball;24;1
Men;Africa;South Africa;Volleyball;NA;NA
Men;Africa;Algeria;Volleyball;NA;NA
Men;Africa;Morocco;Volleyball;NA;NA
Men;Africa;Angola;Volleyball;NA;NA
Men;Africa;Kenya;Volleyball;NA;NA
Men;Africa;Ethiopia;Volleyball;NA;NA
Men;Africa;Tanzania, United Republic of;Volleyball;NA;NA
Men;Africa;Ghana;Volleyball;NA;NA
Men;Americas;United States;Volleyball;12;2
Men;Americas;Canada;Volleyball;NA;NA
Men;Americas;Brazil;Volleyball;12;1
Men;Americas;Mexico;Volleyball;NA;NA
Men;Americas;Argentina;Volleyball;12;2
Men;Americas;Colombia;Volleyball;NA;NA
Men;Americas;Chile;Volleyball;NA;NA
Men;Americas;Peru;Volleyball;8;1
Men;Americas;Puerto Rico;Volleyball;7;0
Men;Americas;Ecuador;Volleyball;NA;NA
Men;Asia;China;Volleyball;14;2
Men;Asia;Japan;Volleyball;10;6
Men;Asia;India;Volleyball;8;3
Men;Asia;Iran, Islamic Republic of;Volleyball;14;0
Men;Asia;Korea, Republic of;Volleyball;7;0
Men;Asia;Indonesia;Volleyball;8;3
Men;Asia;Saudi Arabia;Volleyball;12;0
Men;Asia;Turkey;Volleyball;14;0
Men;Asia;Thailand;Volleyball;8;5
Men;Asia;Israel;Volleyball;NA;NA
Men;Europe;Germany;Volleyball;9;3
Men;Europe;United Kingdom;Volleyball;NA;NA
Men;Europe;France;Volleyball;14;4
Men;Europe;Russian Federation;Volleyball;14;4
Men;Europe;Italy;Volleyball;12;2
Men;Europe;Spain;Volleyball;12;1
