"","ID","Gender","Sport","Continent","Country","Club","Classification_Specific","Classification_General","Classification_Class","Classification_Order","Classification_Family","Classification_Genus","Classification_Species","N_Species_In_Country","EX","EW","CR","EN","VU","NT","LC","DD","NE","Decreasing","Increasing","Stable","Unknown"
"1","ID_1","Men","Football","Asia","Turkey","Çaykur Rizespor","Accipiter melanoleucus","Species","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter melanoleucus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"102","ID_102","Men","Football","Asia","Iran, Islamic Republic of","Shahr Khodrou FC","Acinonyx jubatus","Species","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"103","ID_103","Women","Volleyball","Europe","Netherlands","Djopzz VC Zwolle Topvolleybal","Acinonyx jubatus","Species","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"104","ID_104","Men","Rugby XV","Africa","South Africa","Free State Cheetahs","Acinonyx jubatus","Species","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"114","ID_114","Men","Volleyball","Asia","Japan","Suntory Sunbirds","Aethopyga siparaja","Species","Aves","Passeriformes","Nectariniidae","Aethopyga","Aethopyga siparaja",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"115","ID_115","Women","Volleyball","Americas","Puerto Rico","Changas de Naranjito","Agelaius xanthomus","Species","Aves","Passeriformes","Icteridae","Agelaius","Agelaius xanthomus",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"117","ID_117","Men","Basketball","Europe","Sweden","Jämtland Basket","Alces alces","Species","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"141","ID_141","Men","Baseball","Europe","Netherlands","RCH-Pinguins","Aptenodytes forsteri","Species","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"142","ID_142","Men","Ice Hockey","Americas","United States","Pittsburgh Penguins","Aptenodytes forsteri","Species","Aves","Sphenisciformes","Spheniscidae","Aptenodytes","Aptenodytes forsteri",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"144","ID_144","Men","Football","Americas","Colombia","Águilas Doradas Rionegro","Aquila chrysaetos","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"145","ID_145","Men","Baseball","Asia","Japan","Tohoku Rakuten Golden Eagles","Aquila chrysaetos","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"146","ID_146","Men","Football","Asia","Turkey","Konyaspor","Aquila heliaca","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"147","ID_147","Men","Basketball","Asia","Turkey","Konyaspor","Aquila heliaca","Species","Aves","Accipitriformes","Accipitridae","Aquila","Aquila heliaca",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"149","ID_149","Men","Football","Americas","United States","Inter Miami CF","Ardea herodias","Species","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"158","ID_158","Men","Basketball","Asia","China","Sichuan Blue Whales","Balaenoptera musculus","Species","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus",0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"160","ID_160","Men","Baseball","Asia","Japan","Orix Buffaloes","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"161","ID_161","Men","American Football","Americas","United States","Buffalo Bills","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"162","ID_162","Men","Ice Hockey","Americas","United States","Buffalo Sabres","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"163","ID_163","Women","Ice Hockey","Americas","United States","Buffalo Beauts","Bison bison","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bison",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"164","ID_164","Men","Rugby XIII","Europe","France","Sporting Olympique Avignonnais XIII","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"165","ID_165","Women","Volleyball","Europe","Italy","Azzurra Volley Firenze","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"166","ID_166","Men","Football","Europe","Russian Federation","FC Krasnodar","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"167","ID_167","Men","Rugby XV","Europe","Spain","Independiente RC","Bison bonasus","Species","Mammalia","Artiodactyla","Bovidae","Bison","Bison bonasus",0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"169","ID_169","Men","Football","Asia","India","FC Goa","Bos gaurus","Species","Mammalia","Artiodactyla","Bovidae","Bos","Bos gaurus",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"210","ID_210","Men","Ice Hockey","Europe","France","Ducs d'Angers","Bubo bubo","Species","Aves","Strigiformes","Strigidae","Bubo","Bubo bubo",1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"211","ID_211","Men","Football","Asia","Turkey","İstanbul Başakşehir F.K.","Bubo bubo","Species","Aves","Strigiformes","Strigidae","Bubo","Bubo bubo",1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"230","ID_230","Men","Rugby XV","Americas","United States","Dallas jackals","Canis latrans","Species","Mammalia","Carnivora","Canidae","Canis","Canis latrans",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"231","ID_231","Men","Ice Hockey","Americas","United States","Arizona Coyotes","Canis latrans","Species","Mammalia","Carnivora","Canidae","Canis","Canis latrans",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"232","ID_232","Men","Football","Americas","Argentina","Club de Gimnasia y Esgrima La Plata","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"233","ID_233","Men","American Football","Americas","Brazil","Moon Howlers","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"234","ID_234","Men","Basketball","Americas","Canada","Montreal Alliance","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"235","ID_235","Women","Football","Asia","China","Shaanxi Chang'an Athletic","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"236","ID_236","Women","Basketball","Asia","China","Shaanxi Tianze Red Wolves","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"237","ID_237","Men","Football","Americas","Colombia","Deportivo Pereira","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"238","ID_238","Men","Football","Africa","Egypt","Al Mokawloon Al Arab SC","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"239","ID_239","Men","Rugby XV","Europe","France","Lyon OU","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"240","ID_240","Men","Ice Hockey","Europe","France","Grenoble métropole hockey 38","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"241","ID_241","Women","Handball","Europe","France","Saint-Amand Handball","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"242","ID_242","Men","Football","Europe","Germany","VfL Wolfsburg","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"243","ID_243","Women","Football","Europe","Germany","VfL Wolfsburg","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"244","ID_244","Men","Football","Asia","Iran, Islamic Republic of","Tractor Sazi","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"245","ID_245","Men","Football","Europe","Italy","AS Roma","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"246","ID_246","Men","Volleyball","Europe","Italy","Gas Sales Bluenergy Piacenza","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"247","ID_247","Women","Football","Europe","Italy","AS Roma","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"248","ID_248","Men","Football","Asia","Japan","Cerezo Osaka","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"249","ID_249","Men","Volleyball","Asia","Japan","Wolfdogs Nagoya","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"250","ID_250","Men","Rugby XV","Asia","Japan","Toshiba Brave Lupus Tokyo","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"251","ID_251","Women","Basketball","Americas","Mexico","Lobas de Aguascalientes","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"252","ID_252","Men","Football","Africa","Nigeria","Warri Wolves FC","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"253","ID_253","Men","Basketball","Europe","Poland","Wilki Morskie Szczecin","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"254","ID_254","Men","Football","Europe","Russian Federation","FC Akhmat Grozny","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"255","ID_255","Men","Ice Hockey","Europe","Russian Federation","HC Dynamo Moscow","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"256","ID_256","Men","Ice Hockey","Europe","Russian Federation","HC Neftekhimik Nizhnekamsk","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"257","ID_257","Men","Football","Asia","Saudi Arabia","Al-Taawoun FC","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"258","ID_258","Men","Volleyball","Asia","Thailand","Samut Prakan VC","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"259","ID_259","Men","Football","Europe","United Kingdom","Wolverhampton Wanderers FC","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"260","ID_260","Men","Rugby XIII","Europe","United Kingdom","Warrington Wolves","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"261","ID_261","Men","Basketball","Americas","United States","Minnesota Timberwolves","Canis lupus","Species","Mammalia","Carnivora","Canidae","Canis","Canis lupus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"274","ID_274","Men","Basketball","Americas","Brazil","Fortaleza Basquete Cearense","Caracara plancus","Species","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"275","ID_275","Men","Ice Hockey","Europe","Germany","Kölner Haie","Carcharodon carcharias","Species","Chondrichthyes","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"276","ID_276","Men","Football","Asia","Indonesia","Persebaya Surabaya","Carcharodon carcharias","Species","Chondrichthyes","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"277","ID_277","Men","Baseball","Europe","Germany","Cologne Cardinals","Cardinalis cardinalis","Species","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"278","ID_278","Men","American Football","Americas","United States","Arizona Cardinals","Cardinalis cardinalis","Species","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"279","ID_279","Men","Baseball","Americas","United States","St. Louis Cardinals","Cardinalis cardinalis","Species","Aves","Passeriformes","Cardinalidae","Cardinalis","Cardinalis cardinalis",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"281","ID_281","Men","American Football","Americas","Canada","Edmonton Elks","Cervus canadensis","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus canadensis",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"282","ID_282","Men","Football","Europe","Netherlands","SC Cambuur","Cervus elaphus","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"283","ID_283","Women","Cricket","Oceania","New Zealand","Central Hinds","Cervus elaphus","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"284","ID_284","Men","Cricket","Oceania","New Zealand","Central Stags","Cervus elaphus","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"285","ID_285","Men","Volleyball","Europe","Russian Federation","ASK Nizhny Novgorod","Cervus elaphus","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"286","ID_286","Men","Ice Hockey","Europe","Russian Federation","Torpedo Nizhny Novgorod","Cervus elaphus","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"287","ID_287","Women","Ice Hockey","Europe","Russian Federation","Torpedo Nizhny Novgorod","Cervus elaphus","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"288","ID_288","Women","Basketball","Asia","China","Xinjiang Tian Shan Magic Deer","Cervus hanglu","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus hanglu",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"289","ID_289","Men","Football","Asia","Japan","Kashima Antlers","Cervus nippon","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus nippon",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"290","ID_290","Men","Ice Hockey","Asia","Japan","Nikkō Ice Bucks","Cervus nippon","Species","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus nippon",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"297","ID_297","Men","Football","Europe","France","RC Strasbourg","Ciconia ciconia","Species","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia ciconia",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"298","ID_298","Men","Baseball","Europe","Netherlands","Silicon Storks","Ciconia ciconia","Species","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia ciconia",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"299","ID_299","Women","Football","Europe","Netherlands","ADO Den Haag Vrouwen","Ciconia ciconia","Species","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia ciconia",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"300","ID_300","Men","Football","Europe","United Kingdom","Burnley FC","Ciconia ciconia","Species","Aves","Ciconiiformes","Ciconiidae","Ciconia","Ciconia ciconia",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"307","ID_307","Women","Basketball","Americas","Argentina","Montmartre","Corvus corax","Species","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"308","ID_308","Women","Volleyball","Europe","Germany","Rote Raben Vilsbiburg","Corvus corax","Species","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"309","ID_309","Men","Handball","Europe","Spain","Club Balonmano Granollers","Corvus corax","Species","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"310","ID_310","Women","Handball","Europe","Spain","Club Balonmano Granollers","Corvus corax","Species","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"311","ID_311","Men","American Football","Americas","United States","Baltimore Ravens","Corvus corax","Species","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"315","ID_315","Men","Football","Asia","Iran, Islamic Republic of","Zob Ahan","Crocodylus palustris","Species","Reptilia","Crocodylia","Crocodylidae","Crocodylus","Crocodylus palustris",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"318","ID_318","Men","Baseball","Americas","United States","Arizona Diamondbacks","Crotalus atrox","Species","Reptilia","Squamata","Viperidae","Crotalus","Crotalus atrox",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"320","ID_320","Men","Baseball","Americas","United States","Toronto Blue Jays","Cyanocitta cristata","Species","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"321","ID_321","Men","Basketball","Americas","Chile","Tinguiririca San Fernando","Cyanoliseus patagonus","Species","Aves","Psittaciformes","Psittacidae","Cyanoliseus","Cyanoliseus patagonus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"323","ID_323","Men","Volleyball","Oceania","Australia","WA Steel","Cygnus atratus","Species","Aves","Anseriformes","Anatidae","Cygnus","Cygnus atratus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"324","ID_324","Men","Rugby XV","Oceania","Australia","Western Force","Cygnus atratus","Species","Aves","Anseriformes","Anatidae","Cygnus","Cygnus atratus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"325","ID_325","Men","Rugby XV","Europe","Spain","Club de Rugby Complutense Cisneros","Cygnus olor","Species","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"326","ID_326","Men","Handball","Europe","Spain","Club Cisne Balonmano","Cygnus olor","Species","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"329","ID_329","Men","Football","Europe","United Kingdom","Watford FC","Dama dama","Species","Mammalia","Artiodactyla","Cervidae","Dama","Dama dama",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"350","ID_350","Men","Basketball","Africa","South Africa","Mpumalanga Rhinos","Diceros bicornis","Species","Mammalia","Perissodactyla","Rhinocerotidae","Diceros","Diceros bicornis",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"351","ID_351","Men","Rugby XIII","Europe","United Kingdom","Leeds Rhinos","Diceros bicornis","Species","Mammalia","Perissodactyla","Rhinocerotidae","Diceros","Diceros bicornis",0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"399","ID_399","Men","Handball","Europe","Germany","THW Kiel","Equus quagga","Species","Mammalia","Perissodactyla","Equidae","Equus","Equus quagga",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"400","ID_400","Women","Football","Europe","Germany","Meidericher Sportverein 02 e. V. Duisburg","Equus quagga","Species","Mammalia","Perissodactyla","Equidae","Equus","Equus quagga",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"401","ID_401","Men","Football","Europe","Italy","Juventus FC","Equus quagga","Species","Mammalia","Perissodactyla","Equidae","Equus","Equus quagga",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"402","ID_402","Men","Football","Europe","Italy","Udinese Calcio","Equus quagga","Species","Mammalia","Perissodactyla","Equidae","Equus","Equus quagga",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"403","ID_403","Men","Rugby XV","Europe","Italy","Zebre Parma","Equus quagga","Species","Mammalia","Perissodactyla","Equidae","Equus","Equus quagga",0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"404","ID_404","Men","Rugby XIII","Europe","United Kingdom","Hull Kingston Rovers","Erithacus rubecula","Species","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"405","ID_405","Men","Ice Hockey","Europe","Germany","Fischtown Pinguins Bremerhaven","Eudyptes chrysolophus","Species","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Eudyptes chrysolophus",0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"413","ID_413","Men","Cricket","Europe","United Kingdom","Derbyshire County Cricket Club","Falco peregrinus","Species","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"421","ID_421","Women","Handball","Europe","Germany","SV Union Halle-Neustadt","Felis silvestris","Species","Mammalia","Carnivora","Felidae","Felis","Felis silvestris",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"462","ID_462","Men","Football","Americas","Chile","Club Universidad de Chile","Glaucidium nana","Species","Aves","Strigiformes","Strigidae","Glaucidium","Glaucidium nana",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"463","ID_463","Women","Football","Americas","Chile","Club Universidad de Chile","Glaucidium nana","Species","Aves","Strigiformes","Strigidae","Glaucidium","Glaucidium nana",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"467","ID_467","Men","Ice Hockey","Asia","Japan","East Hokkaido Cranes","Grus japonensis","Species","Aves","Gruiformes","Gruidae","Grus","Grus japonensis",1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"468","ID_468","Women","Basketball","Asia","China","Liaoning Flying Eagles","Haliaeetus leucocephalus","Species","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"469","ID_469","Men","Ice Hockey","Europe","Germany","Adler Mannheim","Haliaeetus leucocephalus","Species","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"470","ID_470","Men","Handball","Europe","Switzerland","HSC Suhr Aarau","Haliaeetus leucocephalus","Species","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"471","ID_471","Women","Handball","Europe","Switzerland","Spono Eagles","Haliaeetus leucocephalus","Species","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"472","ID_472","Men","Cricket","Europe","United Kingdom","Essex County Cricket Club / Essex Eagles","Haliaeetus leucocephalus","Species","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus",0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"473","ID_473","Men","Football","Americas","United States","D.C. United","Haliaeetus leucocephalus","Species","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucocephalus",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"474","ID_474","Men","Rugby XV","Africa","South Africa","SWD Eagles","Haliaeetus vocifer","Species","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus vocifer",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"482","ID_482","Men","Baseball","Americas","United States","Baltimore Orioles","Icterus galbula","Species","Aves","Passeriformes","Icteridae","Icterus","Icterus galbula",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"487","ID_487","Men","Football","Asia","Japan","Hokkaido Consadole Sapporo","Ketupa blakistoni","Species","Aves","Strigiformes","Strigidae","Ketupa","Ketupa blakistoni",1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"495","ID_495","Men","Cricket","Oceania","Australia","West End Redbacks","Latrodectus hasselti","Species","Arachnida","Araneae","Theridiidae","Latrodectus","Latrodectus hasselti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
