ID;ID;Gender;Sport;Continent;Country;Club;Team logo;Team nickname;Trophic;Classification_Specific;Classification_General;Classification_Class;Classification_Order;Classification_Family;Classification_Genus;Classification_Species;Stadium;Location;Lat;Long;Capacity;N_Species_In_Country;EX;EW;CR;EN;VU;NT;LC;DD;NE;Decreasing;Increasing;Stable;Unknown
ID_53;53;Men;Baseball;Europe;Italy;San Marino Baseball Club;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stadio di Baseball di Serravalle;43.970204218259155, 12.474971826261186;43.970204218259155; 12.474971826261186;1500;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_54;54;Men;Ice Hockey;Europe;Italy;Hockey Club Merano Junior;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;MeranArena;46.664124635439066, 11.158727265738907;46.664124635439066; 11.158727265738907;3000;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_55;55;Men;Ice Hockey;Europe;Italy;HC Fassa Falcons;Hawk;Hawk;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Stadio del Ghiaccio Gianmario Scola;46.46229256979504, 11.78531572449506;46.46229256979504; 11.78531572449506;3500;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_56;56;Women;Volleyball;Europe;Italy;Wealth Planet Perugia Volley;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;PalaEvangelisti;43.11060802001006, 12.357892510763042;43.11060802001006; 12.357892510763042;3300;27;NA;NA;NA;2;3;3;19;NA;NA;11;4;11;1
ID_57;57;Men;Basketball;Asia;Japan;Toyotsu Fighting Eagles Nagoya;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Biwajima Sports Center;35.18865624451039, 136.87502766737754;35.18865624451039; 136.87502766737754;1750;22;NA;NA;NA;NA;3;3;16;NA;NA;11;1;8;2
ID_58;58;Men;Volleyball;Asia;Japan;Oita Miyoshi Weisse Adler;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Cycle Shop Kodama Osu Arena;33.25247144684899, 131.62925049223264;33.25247144684899; 131.62925049223264;2334;22;NA;NA;NA;NA;3;3;16;NA;NA;11;1;8;2
ID_59;59;Men;Baseball;Asia;Japan;Fukuoka SoftBank Hawks;Hawk;Hawk;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Fukuoka PayPay Dome;33.59553716865436, 130.36260599526938;33.59553716865436; 130.36260599526938;40000;22;NA;NA;NA;NA;3;3;16;NA;NA;11;1;8;2
ID_60;60;Men;Rugby XV;Asia;Japan;Yokohama Canon Eagles;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Nissan Stadium;35.510234282910886, 139.60713398737622;35.510234282910886; 139.60713398737622;72327;22;NA;NA;NA;NA;3;3;16;NA;NA;11;1;8;2
ID_61;61;Men;Ice Hockey;Asia;Japan;Red Eagles Hokkaido;Eagle;Eagle;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Hakucho Arena;42.6397261093302, 141.607368175945;42.6397261093302; 141.607368175945;3015;22;NA;NA;NA;NA;3;3;16;NA;NA;11;1;8;2
ID_62;62;Women;Football;Asia;Japan;Nippon TV Tokyo Verdy Beleza;Eagle;;Raptor;Accipitridae;Family;Aves;Accipitriformes;Accipitridae;NA;NA;Ajinomoto Field Nishigaoka;35.771332705738764, 139.71538503630134;35.771332705738764; 139.71538503630134;7258;22;NA;NA;NA;NA;3;3;16;NA;NA;11;1;8;2
